"","x"
"891","Learning Boolean read-once formulas with arbitrary symmetric and constant fan-in gates."
"892","Distributed Patterns as Hierarchical Structures,"
"893","Learning probabilistic automata with variable memory length."
"894","Applications of a logical discovery engine."
"895","(1995) Induction of decision trees using RELIEFF."
"896","ftp:##pscs.physics.lsa.umich.edu#pub#papers#pscs-96-001.ps.gz"
"897","(1995) Linear space induction in first order logic with RELIEFF,"
"898","(1995) Discretization of continuous attributes using ReliefF,"
"899","http:##wwwsyseng.anu.edu.au#~jon#papers#acnn98.ps.gz"
"900","http:##3weco.unipv.it#users#staff#pgiudici#www#papers#metroseq.ps"
"901","Viewpoint invariant face recognition using independent component analysis and attractor networks."
"902","(1996) ""Bayesian curve fitting using multivariate normal mixtures,"""
"903","A formal analysis of the role of multi--point crossover in genetic algorithms."
"904","http:##www.cs.helsinki.fi#~tirri#sig.ps"
"905","Simulated annealing for hard satisfiability problems. In, Workshop Notes from the 1993 DIMACS Challenge. FINDING HARD INSTANCES OF THE SATISFIABILITY PROBLEM 17"
"906","Error-based and entropy-based discretization of continuous features."
"907","http:##www.math.rutgers.edu#~sycon#OLDER_REPORTS#sycon93-01.ps.gz"
"908","http:##www.math.rutgers.edu#~sycon#OLDER_REPORTS#sycon93-04.ps.gz"
"909","`Data Reconciliation and Gross Error Detection for Dynamic Systems\',"
"910","http:##www.cis.upenn.edu#~daes#papers#hier.ps.gz"
"911","Predicting nearly as well as the best pruning of a decision tree."
"912","Noise-tolerant parallel learning of geometric concepts."
"913","Pessimistic Decision Tree Pruning Based on Tree Size."
"914","""For neural networks, function determines form,"""
"915","http:##www.cs.jhu.edu#~salzberg#readings#kasif-ismb93.ps"
"916","Algorithmic stability and sanity-check bounds for leave-one-out cross-validation."
"917","http:##www.cse.unsw.edu.au#~claude#research#papers#ml4.ps.gz"
"918","A distributed, component-based ge-netic programming system in C++. Research Note RN/96/2,"
"919","Adaptive behaviour in competing co-evolving species."
"920","""State observability in recurrent neural networks,"""
"921","Computing second derivatives in feed-forward networks: a review."
"922","http:##www.cs.tu-berlin.de#~mki#report#part4.ps"
"923","ftp:##synapse.cs.byu.edu#pub#papers#wilson.ai93.proto.ps"
"924","""Recurrent neural networks: Some systems-theoretic aspects,"" in Dealing with Complexity: a Neural Network Approach (M."
"925","""Complete controllability of continuous-time recurrent neural networks,"""
"926","ftp:##synapse.cs.byu.edu#pub#papers#rudolph.lia96.ps"
"927","http:##www.cs.cmu.edu#~baird#papers#spurious#spurious.ps"
"928","Model-Based Learning of Structural Indices to Design Cases."
"929","Learning to classify observed motor behavior."
"930","http:##www.mli.gmu.edu#~bloedorn#papers#ismis96.final.ps"
"931","Extracting support data for a given task."
"932","http:##www.cnl.salk.edu#~zhang#reconst.ps.gz"
"933","Representation of spatial orientation by the intrinsic dynamics of the head-direction cell ensemble: a theory."
"934","Bias plus variance decomposition for zero-one loss functions."
"935","Rapidly reconfigurable field-programmable gate arrays for accelerating fitness evaluation in genetic programming."
"936","Parsimonious least norm approximation."
"937","ftp:##ftp.cnl.salk.edu#pub#marni#NATOface97.ps"
"938","http:##www.cs.cmu.edu#~craven#craven.fgcs97.ps.gz"
"939","Asymptotic statistical theory of overtraining and cross-validation."
"940","Mathematical programming in data mining. Data Mining and Knowledge Discovery,"
"941","Stochastic Inductive Logic Programming."
"942","Exponentially many local minima for single neurons."
"943","An Analysis of the Effects of Neighborhood Size and Shape on Local Selecrion Algorithms."
"944","Incremental tradeoff resolution in qualitative probabilistic networks."
"945","A summary of research on parallel genetic algorithms."
"946","http:##www.bell-labs.com#user#seung#papers#rg.ps.gz"
"947","A fast txed-point algorithm for independent component analysis,"
"948","Neuronal goals: Efficient coding and coincidence detection."
"949","http:##www.cs.colostate.edu#~ftppub#TechReports#1993#tr-103.ps.Z"
"950","http:##www.mli.gmu.edu#~bloedorn#papers#ismis96.final.ps.gz"
"951","http:##ai.fri.uni-lj.si#papers#robnik97-icml.ps.gz"
"952","ftp:##ftp.comlab.ox.ac.uk#pub#Packages#ILP#Papers#indlog.ps"
"953","file:##ftp.cs.toronto.edu#pub#carl#depth.ps.gz"
"954","Learning belief networks from data: an information theory based approach, forth coming. i Dataset1 has the underlying belief network described in the web page of Norsys Software Corp. Dataset2 has the underlying belief network used by David Heckerman. Dataset3 is generated by Gregory F. Cooper and Edward Herskovits. We generated dataset1 and dataset2 using a Monte Carlo technique. ii The CI tests are grouped by the cardinalities of conditionsets."
"955","Evolutionary Search and the Job Shop,"
"956","An algorithm for Bayesian belief network construction from data,"
"957","Nonlinear Prediction of Chaotic Time Series."
"958","A multi-chip module implementation of a neural network."
"959","""Specialization of Recursive Predicates"","
"960","""Specialization of Logic Programs by Pruning SLD-Trees"","
"961","http:##ftp.eecs.umich.edu#people#wellman#mcsim94.ps.Z"
"962","Continuous case-based reasoning."
"963","http:##www.mli.gmu.edu#papers#mli-95-3.ps"
"964","Construction of Bayesian Network Structures from Data: a Brief Survey and an Efficient Algorithm."
"965","http:##utstat.toronto.edu#reports#tibs#cic.ps"
"966","http:##www.cs.bris.ac.uk#Tools#Reports#Ps#1997-bogacz.ps.gz"
"967","http:##www.cs.cmu.edu#~dario#TR96#TR96.ps"
"968","http:##www.stat.cmu.edu#www#cmu-stats#tr#tr646#tr646.ps"
"969","ftp:##claret.psychology.mcmaster.ca#pub#becker#faces.ps.Z"
"970","http:##www.cs.orst.edu#~margindr#Papers#prune-adaboost.ps.gz"
"971","http:##www.cs.unc.edu#~marshall#WWW#PAPERS#pharma9807.ps.gz"
"972","Learning unions of boxes with membership and equivalence queries."
"973","http:##www.soton.ac.uk#~ajk#gann1.ps"
"974","http:##www-bcs.mit.edu#~yweiss#cbcl.ps.gz"
"975","Scheduling maintenance of electrical power transmission networks using genetic programming."
"976","A methodology for processing problem constraints in genetic programming. Computers and Mathematics with Application,"
"977","HAUTUS M.L.J.Observability of Linear Systems with Saturated Outputs,"
"978","Automated refinement of first-order horn-clause domain theories."
"979","ftp:##ftp.cs.rutgers.edu#pub#kudenko#papers#aaai98.ps"
"980","""A genetic algorithm for the assembly line balancing problem"","
"981","`The possible contribution of AI to the avoidance of crises and wars: Using CBR methods with the KOSIMO database of conflicts\',"
"982","Inductive bias in case-based reasoning systems."
"983","http:##www.aic.nrl.navy.mil#~spears#papers#icga93.ps.gz"
"984","Towards a better understanding of memory-based and bayesian classifiers."
"985","Flexible metric nearest neighbor classification."
"986","""Staged hybrid genetic search for seismic data imaging,"""
"987","""Using genetic algorithms to explore pattern recognition in the immune system,"""
"988","The locally linear nested network for robot manipulation."
"989","Equivalence and reduction of hidden Markov models,"
"990","""A Coevolutionary Approach to Learning Sequential Decision Rules"","
"991","Adapting Bias by Gradient Descent: An Incremental Version of Delta-Bar-Delta,"
"992","Adaptive parameter pruning in neural networks."
"993","An object-oriented connectionist simulator."
"994","(1992) Generic Teleological Mechanisms and their Use in Case Adaptation,"
"995","A comparative utility analysis of case-based reasoning and control-rule learning systems."
"996","A model of similarity-based retrieval."
"997","On-line learning of linear functions."
"998","Constructive similarity assessment: Using stored cases to define new situa tions."
"999","Towards a computer model of memory search strategy learning."
"1000","http:##www.cs.brandeis.edu#~hornby#docs#ghornby.ps.Z"
"1001","ftp:##ftp.cs.toronto.edu#pub#zoubin#struct.ps.gz"
"1002","A self-organizing binary decision tree for incrementally defined rule based systems."
"1003","Dynamic hill climbing: Overcoming the limitations of optimization techniques."
"1004","http:##www.aic.nrl.navy.mil#papers#1992#AIC-92-004.ps"
"1005","A theory of unsupervised speedup learning,"
"1006","http:##www.cs.ucsb.edu#TRs#techreports#TRCS95-20.ps"
"1007","Learning acyclic first-order horn sentences from entailment."
"1008","""Using DNA to solve NP-Complete Problems"","
"1009","Learning conventions in multiagent stochastic domains using likelihood estimates."
"1010","From Design Experiences to Generic Mechanisms: Model-Based Learning in Analogical Design."
"1011","Optimal mutation rates in genetic search."
"1012","""Learning robot behaviors using genetic algorithms,"""
"1013","(1995) Bayesian graphical models for intelligent tutoring systems."
"1014","(1993) A NN Algorithm for Hard Satisfiability problems,"
"1015","(in preparation). Neural networks in an Artificial Life perspective"
"1016","ftp:##cns-ftp.bu.edu#pub#diana#GroBra:95.ps.gz"
"1017","A unifying view of some training algorithms for multilayer perceptrons with FIR filter synapses."
"1018","The optimal number of learning samples and hidden units in function approximation with a feedforward network."
"1019","Decomposable Graphical Gaussian Model Determination."
"1020","Opportunistic Reasoning: A Design Perspective."
"1021","What size neural network gives optimal generalization? Convergence properties of backpropagation."
"1022","Lessons in neural network training: Overfitting may be harder than expected."
"1023","Learning Classification Rules Using Lattices."
"1024","ftp:##ftp.gmd.de#GMD#ai-research#Publications#Fabel#EWCBR-96-Schaaf.ps.gz"
"1025","""Evolution in Time and Space: The Parallel Genetic Algorithm."" In Foundations of Genetic Algorithms,"
"1026","Case-based learning: Beyond classification of feature vectors."
"1027","Memory-based lexical acquisition and processing."
"1028","(1998) A new sequential simulated annealing method."
"1029","http:##www.cs.helsinki.fi#research#cosco#Projects#NONE#mdata.ps.gz"
"1030","An evolutionary tabu search algorithm and the NHL scheduling problem,"
"1031","(1994) ""PFSA Modelling of Behavioural Sequences by Evolutionary Programming"" in Stonier, R.J."
"1032","A reversible jump sampler for autoregressive time series."
"1033","http:##www.cc.gatech.edu#faculty#ashwin#papers#er-97-04.ps.Z"
"1034","PAC analyses of a `similarity learning\' IBL al-gorithm."
"1035","ftp:##ftp.ai.univie.ac.at#papers#oefai-tr-97-32.ps.Z"
"1036","ftp:##ftp.cm.deakin.edu.au#pub#TR#Computing#TR-C95-02.ps.gz"
"1037","Evolving globally synchronized cellular automata."
"1038","Bootstrapping functional M-estimators."
"1039","Individual and collective prognostic prediction."
"1040","Selective Sampling Using the Query by Committee Algorithm,"
"1041","Nonlinear component analysis as a kernel eigenvalue problem."
"1042","From knowledge bases to decision models."
"1043","Dynamical selection of learning algorithms."
"1044","Learning concepts by asking questions. In R.S."
"1045","From complex environments to complex behaviors. Adaptive Behavior,"
"1046","An Efficient Subsumbtion Algorith for Inductive Logic Programming."
"1047","Strongly Typed Genetic Programming."
"1048","http:##www.cs.utexas.edu#users#ring#RCC.ps.Z"
"1049","http:##ki.cs.tu-berlin.de#~scheffer#papers#jair97.ps"
"1050","Learning sparse perceptrons."
"1051","`Overcoming the myopia of inductive learning algorithms with relieff\',"
"1052","Hierarchical reinforcement learning with the MAXQ value function decomposition."
"1053","Causality in genetic programming."
"1054","An Empirical Comparison of Voting Classification Algorithms: Bagging, Boosting, and Variants."
"1055","http:##www.cs.berkeley.edu#~russell#papers#aij-cnt.ps"
"1056","http:##www.gia.ist.utl.pt#~pedrod#tr94-34.ps.gz"
"1057","Plate. Holographic Reduced Representations."
"1058","http:##www.cs.technion.ac.il#~carmel#papers#ijcai-95-wk.ps.Z"
"1059","http:##www.cs.bris.ac.uk#Tools#Reports#Ps#1995-giraudcarrier-0.ps.gz"
"1060","Machine Learning Bias, Statistical Bias, and Statistical Variance of Decision Tree Algorithms."
"1061","Roles of macro-actions in accelerating reinforcement learning."
"1062","Reinforcement learning with hierarchies of machines."
"1063","An explanation-based approach to improve retrieval in case-based planning."
"1064","Phoneme probability estimation with dynamic sparsely connected artificial neural networks."
"1065","Why does Bagging Work? a Bayesian Account and its Implications."
"1066","Query by Committee,"
"1067","http:##www.cs.monash.edu.au#~jono#Open_Uni#TR4-94.ps"
"1068","ftp:##ftp.cnl.salk.edu#pub#tony#edge.ps.Z"
"1069","http:##www.stat.cmu.edu#www#cmu-stats#tr#tr650#tr650.ps"
"1070","(in preparation) ""Between MDPs and semi-MDPs: learning, planning, and representing knowledge at multiple temporal scales."""
"1071","A study of experimental evaluations of neural network learning algorithms: Current research practice."
"1072","""The Role of Development in Genetic Algorithms."""
"1073","ftp:##ftp.cs.colostate.edu#pub#TechReports#1993#tr-103.ps.Z"
"1074","Learning monitoring strategies: A difficult genetic programming application."
"1075","Data Analysis Using Simulated Breeding and Inductive Learning Methods,"
"1076","ftp:##ftp.cs.utexas.edu#pub#mooney#papers#ilpgp-ml-98.ps.Z"
"1077","http:##www.ags.uni-sb.de#~melis#Pub#MelisICCBR97.ps.gz"
"1078","http:##www.techfak.uni-bielefeld.de#techfak#persons#katy#ewcbr96.ps.gz"
"1079","Natural gradient descent for training multi-layer perceptrons."
"1080","Acquiring case adaptation knowledge: A hybrid approach."
"1081","http:##www.cs.brandeis.edu#~maja#pubs#ijcai95ws.ps.gz"
"1082","Learning problem-solving concepts by reflecting on problem solving."
"1083","Veloso (1994). Planning and Learning by Analogical Reasoning."
"1084","Evolutionary programming and evolution strategies: Similarities and differences."
"1085","A game theoretic approach to moving horizon control."
"1086","(1995) Genetic algorithms with multi-parent recombination."
"1087","http:##www.cis.ohio-state.edu#~kchen#jnc98.ps"
"1088","ftp:##synapse.cs.byu.edu#pub#papers#martinez_93b.ps"
"1089","A new metric-based approach to model selection."
"1090","Using real-valued genetic algorithms to evolve rule sets for classification."
"1091","""Knowledge-Based Genetic Learning"","
"1092","""On Learning Multiple Descriptions of a Concept,"""
"1093","What should be minimized in a decision tree?."
"1094","http:##www.ri.cmu.edu#afs#cs#usr#pstone#public#papers#98ml#rl-dt.ps.Z"
"1095","ftp:##synapse.cs.byu.edu#pub#papers#andersen.iasted96.dmp2.ps"
"1096","Entailment for specification refinement."
"1097","Type inheritance in strongly typed genetic programming."
"1098","Augmenting collective adaptation with a simple process agent."
"1099","http:##www-rfcc.cse.uconn.edu#www#LisaPurvis#Integ.ps"
"1100","http:##ki.cs.tu-berlin.de#~scheffer#papers#ijcai97.ps"
"1101","Exploring the decision forest: An empirical investigation of Occam\'s razor in decision tree induction."
"1102","An empirical evaluation of bagging and boosting."
"1103","On Pruning and Averaging Decision Trees,"
"1104","http:##www.cs.huji.ac.il#labs#learning#Papers#cort_hmm.ps.gz"
"1105","Model selection and accounting for model uncertainty in graphical models using Occam\'s window."
"1106","Bayesian graphical models for discrete data."
"1107","Categorical perception in facial emotion classification."
"1108","http:##www.media.mit.edu#~vmb#papers#ica99.ps"
"1109","Producing More Comprehensible Models While Retaining Their Performance."
"1110","Blind separation of delayed and convolved sources."
"1111","http:##www.cse.ogi.edu#~hyang#paper#fimNIPS97.ps.Z"
"1112","http:##www.cse.ogi.edu#~hyang#paper#natGdNIPS97.ps.Z"
"1113","http:##www.isle.org#~langley#papers#place.air97.ps"
"1114","Evolution of non-deterministic incremental algorithms as a new approach for search in state spaces."
"1115","Priming, perceptual reversal, and circular reaction in a neural network model of schema-based vision,"
"1116","VISOR: Schema-based scene analysis with structured neural networks."
"1117","van der Minimisation methods for training feed-forward neural networks."
"1118","""Using a genetic algorithm to learn behaviors for autonomous vehicles,"""
"1119","Backpropagation Separates when Perceptrons Do,"
"1120","Modelling risk from a disease in time and space,"
"1121","A benchmark for classifier learning."
"1122","""The Schema Theorem and Price\'s Theorem,"""
"1123","file:##ftp.cnl.salk.edu#pub#jung#INC9601.ps.Z"
"1124","A knowledge-intensive approach to learning relational concepts."
"1125","Transferring and retraining learned information filters."
"1126","Evolving neural networks with collaborative species."
"1127","Maximum a posteriori classification of DNA structure from sequence information."
"1128","Efficient specific-to-general rule induction."
"1129","ftp:##gracco.irmkant.rm.cnr.it#pub#raffaele#calabretta.modul.ps.Z"
"1130","Hampshire (1992), A Differential Theory of Learning for Statistical Pattern Recognition with Connectionist Models,"
"1131","A hypothesis-driven constructive induction approach to expanding neural networks."
"1132","Estimating the accuracy of learned concepts."
"1133","The BATmobile: Towards a Bayesian automated taxi."
"1134","Context-sensitive learning methods for text categorization."
"1135","Automatic Parameter Selection by Minimizing Estimated Error."
"1136","``Beyond Correlation: Bringing Artificial Intelligence to Event Data,\'\' International Interactions,"
"1137","http:##www.cs.cornell.edu#Info#People#skalak#imlm96-header-final.ps.Z"
"1138","http:##www.cs.cmu.edu#afs#cs#user#baluja#www#papers#surgery.ps.gz"
"1139","Fossil: A robust relational learner""."
"1140","ftp:##ftp.cogsci.indiana.edu#pub#wang.heuristic.ps"
"1141","Genetic programming with user-driven selection: Experiments on the evolution of algorithms for image enhancement."
"1142","A Functional Theory of Creative Reading."
"1143","""Theory and practice of vector quantizers trained on small training sets,"""
"1144","""Remarks on Finite Gain Stabilizability of Linear Systems Subject to Input Saturation,"""
"1145","Global stabilization of linear systems with bounded feedback."
"1146","Bilinear separation of two sets in n-space."
"1147","Street. Feature selection via mathematical programming."
"1148","""Learning context-free grammars: Limitations of a recurrent neural network with an external stack memory,"""
"1149","http:##www.cs.wustl.edu#~sds#research#cgi-bin#server.cgi#research#papers#hga_conf.ps.gz"
"1150","Factorial hidden Markov models."
"1151","Exploiting tractable substructures in intractable networks."
"1152","ftp:##eivind.imm.dtu.dk#pub#cyril#chap5.ps.gz"
"1153","http:##www.cs.toronto.edu#~frey#papers#bbc.ps.Z"
"1154","Using Recurrent Neural Networks to Learn the Structure of Interconnection Networks,"
"1155","Knowledge representation for supporting decision model formulation in medicine."
"1156","On the computational utility of consciousness."
"1157","http:##www.research.att.com#~yoav#papers#rel.ps.Z"
"1158","The origins of Inductive Logic Programming: A prehistoric tale."
"1159","""Rule checking with recurrent neural networks,"""
"1160","http:##www.wi.leidenuniv.nl#~gusz#hboec_mp.ps.gz"
"1161","""Tempering backpropagation networks: Not all weights are created equal"","
"1162","Discovering Representation Space Transformations for Learning Concept Descriptions Combining DNF and M-of-N Rules, Workshop on Constructive Induction and Change of Representation,"
"1163","http:##www.aic.nrl.navy.mil#papers#1998#AIC-98-007.ps.Z"
"1164","Stochastic hillclimbing as a baseline method for evaluating genetic algorithms."
"1165","http:##www.ics.uci.edu#~kibler#mlc93.ps"
"1166","A genetic algorithm for the set partitioning problem."
"1167","Improving the accuracy and speed of support vector machines."
"1168","""Extracting tree-structured representations of trained networks,"""
"1169","A defect in Dempster-Shafer theory."
"1170","A formalization of explanation-based macro-operator learning."
"1171","Incorporating Invariances in Support Vector Learning Machines,"
"1172","Robo-shepherd: Learning complex robotic behaviors."
"1173","Learning Trees and Rules with Set-valued Features."
"1174","http:##www.cs.brandeis.edu#~agents#YB.ps.gz"
"1175","""Modeling volatility using state space models"","
"1176","http:##wwwsyseng.anu.edu.au#~jon#papers#knightcap.ps.gz"
"1177","http:##www.isi.edu#isd#rickel#atp-analogy.ps"
"1178","ftp:##ftp.cs.wisc.edu#tech-reports#reports#93#tr1186.ps"
"1179","On centering neural network weight updates."
"1180","Priority ASOCS."
"1181","Theory and Applications of Agnostic PAC-Learning with Small Decision Trees,"
"1182","http:##www.neci.nj.nec.com#homepages#lawrence#papers#results-tnn97#results-tnn97-letter.ps.gz"
"1183","http:##www.ai.mit.edu#people#holly#papers#minimats.ps.Z"
"1184","""Causal diagrams for experimental research,"""
"1185","On biases estimating multi-valued attributes."
"1186","A Weighted Nearest Neighbor Algorithm for Learning with Symbolic Features."
"1187","Supervised and unsupervised discretization of continuous features."
"1188","http:##www.santafe.edu#~evca#evca-review.ps"
"1189","http:##www.santafe.edu#~evca#mecca.ps.Z"
"1190","http:##www.santafe.edu#~evca#StatDynRRGA.ps"
"1191","Learning Concept Classification Rules Using Genetic Algorithms."
"1192","A study of cross-validation and bootstrap for accuracy estimation and model selection."
"1193","Scaling up the accuracy of naive-bayes classifiers: a decision-tree hybrid. In Proceedings of the Second International Conference on Knowledge Discovery and Data Mining,"
"1194","A machine learning library in C++."
"1195","(1992) Computing Bayesian nonparametric hierarchical models. ISDS Discussion Paper #92-A20,"
"1196","""An analysis of bayesian classifiers,"""
"1197","Adaptive regularization."
"1198","Growing Layers of Perceptrons: Introducing the Extentron Algorithm,"
"1199","""Centering neural network gradient factors"","
"1200","Slonim. Learning monotone DNF with an in complete membership oracle."
"1201","Discovery of Physical Principles from Design Experiences."
"1202","Use of Mental Models for Constraining Index Learning in Experience-Based Design."
"1203","""The parallel projection operators of a nonlinear feedback system,"""
"1204","Markov Chain Monte Carlo Model Determination for Hierarchical and Graphical Models."
"1205","Learning indices for schema selection."
"1206","Robust performance and adaptation using receding horizon H 1 control of time varying systems."
"1207","http:##www.lifl.fr#~mephu-ng#Publications#tai97.ps"
"1208","Hybrid Learning Using Genetic Algorithms and Decision Trees for Pattern Classification."
"1209","FONN: Combining first order logic with connectionist learning,"
"1210","ftp:##ftp.cs.utexas.edu#pub#neural-nets#papers#mcquesten.cull+teach.ps.Z"
"1211","The Structure-Mapping Engine: Algorithms and Examples."
"1212","http:##www.cc.gatech.edu#people#home#marin#bell.ps"
"1213","Constraint tangent distance for online character recognition."
"1214","http:##www.cs.tu-berlin.de#~async#www-pub#TR96-29.ps.gz"
"1215","On the complexity of function learning."
"1216","Extracting Comprehensible Models from Trained Neural Networks."
"1217","Learning from a consistently ignorant teacher."
"1218","ftp:##ftp.santafe.edu#pub#wgm#error.ps.gz"
"1219","Towards automatic discovery of building blocks in genetic programming."
"1220","Exact identification of circuits using fixed points of amplification functions."
"1221","Learning k-term DNF formulas with an incomplete membership oracle."
"1222","A Transformation for Implementing Localist Neural Networks."
"1223","Local error bars for nonlinear regression and time series prediction."
"1224","Using introspective reasoning to refine indexing."
"1225","http:##www.bioele.nuee.nagoya-u.ac.jp#wec#papers#files#perez.ps.gz"
"1226","ftp:##ftp.csd.abdn.ac.uk#pub#apreece#ECAI96#Abecker.ps"
"1227","Self-nonself discrimination in a computer."
"1228","(1997) MCMC Convergence Diagnostic via the Central Limit Theorem."
"1229","Kazlas and A.S. Weigend. (1995) Direct Multi-Step Time Series Prediction Using TD()."
"1230","""A simple algorithm that discovers efficient perceptual codes,"" in Computational and Psychophysical Mechanisms of Visual Coding,"
"1231","ftp:##ftp.cs.utoronto.ca#pub#radford#pin.ps.Z"
"1232","http:##www.research.att.com#~mkearns#papers#reinforcement.ps.Z"
"1233","The case for cases: a call for purity in case-based reasoning."
"1234","Generalization in reinforcement learning: Safely approximating the value function."
"1235","Modeling Hybrid Genetic Algorithms."
"1236","Evaluating Evolutionary Algorithms."
"1237","http:##www.cs.unm.edu#~bap#papers#iconip-96-cica.ps.gz"
"1238","Kalman, An Adaptive Neural Network Parser,"
"1239","Engineering Multiversion Neural-Net Systems,"
"1240","""Use of methodological diversity to improve neural network generalization,"""
"1241","Learning control knowledge in models of expertise."
"1242","http:##www.cs.unm.edu#~bap#papers#ml-abbadingo-one.ps.gz"
"1243","Cortical activity flips among quasi-stationary states."
"1244","http:##www.research.att.com#~mkearns#papers#pruning.ps.Z"
"1245","An improved training algorithm for support vector machines."
"1246","Learning finite state automata using local distinguishing experiments."
"1247","ftp:##ftp.ai.mit.edu#pub#users#cmaley#dissertation#validation-al6.ps.Z"
"1248","Adapting crossover in evolutionary algorithms."
"1249","Probabilistic independence networks for hidden Markov probability models."
"1250","http:##www.bell-labs.com#user#seung#papers#vc.ps.gz"
"1251","http:##www.cogs.susx.ac.uk#users#christ#papers#path-imitation.ps"
"1252","Evolving a generalised behavior: Artificial ant problem revisited."
"1253","Speech recognition with dynamic Bayesian networks."
"1254","""Self-organizing experts,"""
"1255","ftp:##eivind.imm.dtu.dk#pub#cyril#chap1.ps.gz"
"1256","http:##www.ri.cmu.edu#afs#cs.cmu.edu#user#katia#www#cabins-papers#ictai95-final.ps.gz"
"1257","ftp:##eivind.imm.dtu.dk#pub#cyril#chap3.ps.gz"
"1258","A Hybrid GP/GA Approach for Co-evolving Controllers and Robot Bodies to Achieve Fitness-Specified Tasks."
"1259","ftp:##eivind.imm.dtu.dk#pub#cyril#booklet.ps.gz"
"1260","""Use of architecture-altering operations to dynamically adapt a three-way analog source identification circuit to accommodate a new source,"""
"1261","Evolution of mapmaking ability: Strategies for the evolution of learning, planning, and memory using genetic programming."
"1262","Genetic algorithm programming environments."
"1263","Connection pruning with static and adaptive pruning schedules."
"1264","R.M. Cameron-Jones (1994), Exploring a Framework for Instance Based Learning and Naive Bayesian Classifiers,"
"1265","Automatic student modeling and bug library construction using theory refinement."
"1266","Tractable inference for complex stochastic processes."
"1267","ftp:##ftp.cogsci.indiana.edu#pub#wang.induction.ps"
"1268","http:##www-rfcc.cse.uconn.edu#www#LisaPurvis#AAAI98Symp.ps"
"1269","Ridge regression in dual variables."
"1270","BCM network develops orientation selectivity and ocular dominance from natural scenes environment."
"1271","MML estimation of the von Mises concentration parameter."
"1272","Support vector machines, reproducing kernel Hilbert spaces and the randomized GACV."
"1273","Generating accurate and diverse members of a neural-network ensemble."
"1274","ftp:##ftp.cs.umass.edu#pub#lesser#sandholm-aaai96ss.ps"
"1275","Eiben and C.A. Schippers. Multi-parent\'s niche: n-ary crossovers on NK-landscapes."
"1276","Unsupervised Learning using MML."
"1277","Single factor analysis by MML estimation."
"1278","Inverse Entailment and Progol."
"1279","Learning first-order definitions of functions."
"1280","Training methods for adaptive boosting of neural networks for character recognition."
"1281","Learning to represent codons: A challenge problem for constructive induction."
"1282","Learning boxes in high dimension."
"1283","Advantages of decision lists and implicit negatives in inductive logic programming."
"1284","http:##www.math.rutgers.edu#~sontag#FTP_DIR#qiao-scl.ps.gz"
"1285","ftp:##ftp.cs.uu.nl#pub#RUU#CS#techreps#CS-1994#1994-16.ps.gz"
"1286","""Coupled Hidden Markov Models for Complex Action Recognition,"""
"1287","ftp:##ftpipr.ira.uka.de#pub#papers#1996#fgml96mk.ps.gz"
"1288","Minimum-perimeter domain assignment,"
"1289","http:##www.ri.cmu.edu#afs#cs.cmu.edu#project#reinforcement#ml95#proc#dietterich.ps"
"1290","Rana ""Nonlinearity, Hyperplane Ranking and the Simple Genetic Algorithms"","
"1291","Learning goal-decomposition rules using exercises."
"1292","Residual q-learning aplied to visual attention."
"1293","Learning Horn definitions using equivalence and membership queries."
"1294","Theory-guided empirical speedup learning of goal-decomposition rules."
"1295","""Stabilization with saturated actuators, a worked example: F-8 longitudinal flight control,"""
"1296","http:##www.elet.polimi.it#people#lanzi#report46.ps.gz"
"1297","http:##rakaposhi.eas.asu.edu#ihrig-ijcai-wkshp.ps"
"1298","Adaptive mixtures of probabilistic transducers."
"1299","ftp:##ftp.idsia.ch#pub#nic#nips94.ps.gz"
"1300","Bayesian training of backpropagation networks by the hybrid monte carlo method."
"1301","Automatic Indexing, Retrieval and Reuse of Topologies in Complex Designs."
"1302","http:##www.cs.okstate.edu#~nstreet#research#icml98.ps"
"1303","Self-Adaption in Genetic Algorithms."
"1304","DNF if you can\'t learn \'em, teach \'em: An interactive model of teaching."
"1305","Actively searching for an effective neural-network ensemble."
"1306","http:##www.cs.rochester.edu#u#teng#pubs#uai97.ps"
"1307","Dynamic Programming and Markov Processes."
"1308","Learning from queries and examples with tree-structured bias."
"1309","Learning in Boltzmann trees."
"1310","Learning from bad data."
"1311","Bias, variance and prediction error for classification rules."
"1312","""Linear systems with sign-observations,"""
"1313","REPRO: Supporting flowsheet design by case-based retrieval."
"1314","A study of crossover operators in genetic programming."
"1315","Adaptive strategy selection for concept learning."
"1316","Preventing ""overfitting"" of Cross-Validation data."
"1317","Learning with queries but incomplete information."
"1318","http:##www.math.rutgers.edu#~sontag#FTP_DIR#pls-expo.ps.gz"
"1319","""Characterizing the input-to-state stability property for set stability,"""
"1320","A successive linear programming approach to consistent initialization and reinitialization after discontinuities of differential algebraic equations."
"1321","Evolving non-determinism: An inventive and efficient tool for optimization and discovery of strategies."
"1322","Incremental coevolution of organisms: A new approach for optimization and discovery of strategies."
"1323","Within the letter of the law: planning among multiple cases."
"1324","http:##www.cs.purdue.edu#homes#palsberg#paper#gp98.ps.gz"
"1325","Constructive methods for designing compact feedforward networks of threshold units."
"1326","http:##www.cm.deakin.edu.au#~zijian#Papers#deakin-tr-c97-07-lbt.ps.gz"
"1327","Revising Bayesian networks parameters using backpropagation."
"1328","ftp:##ftp.cs.orst.edu#pub#tgd#papers#tr-calibration-oldest.ps.gz"
